MA_Fast,MA_Slow,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Time in Short %,Final Value ($100),Total Days
10,50,0.24,0.58,0.424,0.0,0.07,101.35,1386
20,30,0.24,0.58,0.424,0.0,0.07,101.35,1386
10,100,0.1,1.48,0.068,3.17,1.3,100.56,1386
30,50,0.03,1.47,0.02,3.56,1.23,100.16,1386
5,10,0.0,0.0,0.0,0.0,0.0,100.0,1386
5,30,0.0,0.0,0.0,0.0,0.0,100.0,1386
5,50,0.0,0.0,0.0,0.0,0.0,100.0,1386
10,20,0.0,0.0,0.0,0.0,0.0,100.0,1386
10,30,0.0,0.0,0.0,0.0,0.0,100.0,1386
5,20,0.0,0.0,0.0,0.0,0.0,100.0,1386
20,50,-0.0,1.14,-0.0,2.17,0.51,100.0,1386
50,200,-0.21,2.35,-0.089,8.09,2.24,98.85,1386
50,100,-0.21,2.35,-0.089,8.09,2.24,98.85,1386
30,200,-0.21,2.35,-0.089,8.09,2.24,98.85,1386
30,100,-0.21,2.35,-0.089,8.09,2.24,98.85,1386
10,200,-0.21,2.35,-0.089,8.09,2.24,98.85,1386
20,200,-0.21,2.35,-0.089,8.09,2.24,98.85,1386
5,200,-0.21,2.35,-0.089,8.09,2.24,98.85,1386
5,100,-0.15,1.43,-0.105,3.78,0.87,99.17,1386
100,200,-0.62,2.25,-0.276,8.84,2.09,96.64,1386
20,100,-0.77,2.1,-0.368,8.73,2.02,95.83,1386
