Date,Equity,Strategy
2018-02-01,100.0,ML_Strategy
2018-03-01,96.82057864613174,ML_Strategy
2018-04-01,97.13662781979522,TCVS_Dynamic
2018-05-01,99.49790583669127,ML_Strategy
2018-06-01,102.30158170130142,TCVS_Dynamic
2018-07-01,107.1493045002287,MeanReversion
2018-08-01,111.24406151157761,TCVS_Dynamic
2018-09-01,111.35963077545044,TCVS_Dynamic
2018-10-01,108.7953835544928,TCVS_Dynamic
2018-11-01,113.10860121242408,MeanReversion
2018-12-01,105.72203477888117,MeanReversion
2019-01-01,115.72802210180473,MeanReversion
2019-02-01,119.47943085492322,ML_Strategy
2019-03-01,121.64209199672094,ML_Strategy
2019-04-01,126.55243365975194,TCVS_Dynamic
2019-05-01,121.72694405593181,TCVS_Dynamic
2019-06-01,125.55441952782691,TCVS_Dynamic
2019-07-01,127.45276870320853,ML_Strategy
2019-08-01,127.5947416925923,Conservative_Strategy
2019-09-01,129.21714676312928,TCVS_Dynamic
2019-10-01,129.85058091812826,TCVS_Dynamic
2019-11-01,134.55092384656683,ML_Strategy
2019-12-01,137.0946968892772,Conservative_Strategy
2020-01-01,137.03933184870883,ML_Strategy
2020-02-01,125.62962267755874,MeanReversion
2020-03-01,144.65449999769098,MeanReversion
2020-04-01,162.97071209501743,TCVS_Dynamic
2020-05-01,169.9540488508592,TCVS_Dynamic
2020-06-01,172.96801912329656,ML_Strategy
2020-07-01,183.15447793398522,ML_Strategy
2020-08-01,195.93811117672993,ML_Strategy
2020-09-01,188.6014192284102,ML_Strategy
2020-10-01,183.89892904953655,ML_Strategy
2020-11-01,209.1899989293995,MeanReversion
2020-12-01,216.94017055895995,ML_Strategy
2021-01-01,220.1162142854607,TCVS_Dynamic
2021-02-01,224.9185826996494,TCVS_Dynamic
2021-03-01,238.21446765575803,MeanReversion
2021-04-01,250.8185064698356,ML_Strategy
2021-05-01,245.14683278051683,TCVS_Dynamic
2021-06-01,251.89633941752766,TCVS_Dynamic
2021-07-01,258.37036598405854,TCVS_Dynamic
2021-08-01,264.8746666067516,Conservative_Strategy
2021-09-01,252.530002034381,ML_Strategy
2021-10-01,271.5974678043244,MeanReversion
2021-11-01,269.4152630785845,ML_Strategy
2021-12-01,272.8933045955779,TCVS_Dynamic
2022-01-01,258.50052293220426,ML_Strategy
2022-02-01,246.68609125185515,MeanReversion
2022-03-01,249.22134697432855,TCVS_Dynamic
2022-04-01,227.3474431337175,ML_Strategy
2022-05-01,222.2543775666446,MeanReversion
2022-06-01,215.05563945129583,TCVS_Dynamic
2022-07-01,232.9406004429411,MeanReversion
2022-08-01,233.19102398885406,Conservative_Strategy
2022-09-01,208.03584631743857,MeanReversion
2022-10-01,227.10946940088985,ML_Strategy
2022-11-01,238.3145704534936,TCVS_Dynamic
2022-12-01,232.93718877271394,TCVS_Dynamic
2023-01-01,245.82677122804193,TCVS_Dynamic
2023-02-01,239.6459998475122,ML_Strategy
2023-03-01,244.45760560436517,TCVS_Dynamic
2023-04-01,248.36281507552656,ML_Strategy
2023-05-01,250.47100588630587,TCVS_Dynamic
2023-06-01,266.7014834351389,ML_Strategy
2023-07-01,271.85153392702045,TCVS_Dynamic
2023-08-01,270.24839837726154,TCVS_Dynamic
2023-09-01,257.42927132120485,ML_Strategy
2023-10-01,249.73990026196068,TCVS_Dynamic
2023-11-01,277.1762178052158,MeanReversion
2023-12-01,289.830799255632,ML_Strategy
2024-01-01,295.68538841348254,Conservative_Strategy
2024-02-01,310.32573680197845,TCVS_Dynamic
2024-03-01,314.9562952169229,TCVS_Dynamic
2024-04-01,310.74712577479835,TCVS_Dynamic
